,mal_id,url,title,title_japanese,title_romanji,aired,score,filler,recap,forum_url,poll_votes
44,45,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/45,Frieza Strikes!,野望のベジータ！宇宙一の戦士はオレだ！！,Yabou no! Uchuuichi no Senshi wa Ore Da!! ,1990-04-25T00:00:00+00:00,4.6,False,False,https://myanimelist.net/forum/?topicid=355041,44
45,46,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/46,Defying Orders,悟空パワー全開！！銀河の果てまで６日間,Gokuu Power Zenkai!! Ginga no Hate made Muikakan ,1990-05-02T00:00:00+00:00,4.5,False,False,https://myanimelist.net/forum/?topicid=355515,43
46,47,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/47,Namek's Defense,意表をついた攻撃！！長老の狙いはスカウター,Ihyou wo Tsuita Kougeki!! Chourou no Nerai wa Scouter ,1990-05-09T00:00:00+00:00,4.5,False,False,https://myanimelist.net/forum/?topicid=355663,46
47,48,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/48,The Hunted,悟飯危うし！死を呼ぶ追跡者ドドリア,Gohan Ayaushi! Shi wo Yobu Tsuisekisha Dodoria ,1990-05-16T00:00:00+00:00,4.6,False,False,https://myanimelist.net/forum/?topicid=355673,49
48,49,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/49,The Prince Fights Back,爆死ドドリア！ベジータの恐るべき衝撃波,Bakushi Dodoria! Vegeta no Osoru Beki Shougekiha ,1990-05-23T00:00:00+00:00,4.6,False,False,https://myanimelist.net/forum/?topicid=355691,45
49,50,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/50,Unexpected Problem,燃える惑星からの脱出！！命がけのカメハメ波,Moeru Wakusei kara no Dasshutsu!! Inochigake no Kamehameha ,1990-05-30T00:00:00+00:00,4.5,False,False,https://myanimelist.net/forum/?topicid=355709,51
50,51,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/51,Vegeta Has a Ball,勇気百倍！界王の下に集結する戦士たち,Yuuki Hyakubai! Kaiou no Moto ni Shuuketsu Suru Senshi-tachi ,1990-06-06T00:00:00+00:00,4.6,False,False,https://myanimelist.net/forum/?topicid=355747,40
51,52,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/52,The Past and Future,聞け悟空よ！フリーザには手を出すな,Kike Gokuu yo! Freeza ni wa Te wo Dasu na ,1990-06-20T00:00:00+00:00,4.6,False,False,https://myanimelist.net/forum/?topicid=355773,42
52,53,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/53,Zarbon's Surprise,ほとんど鳥肌！美戦士ザーボンの悪魔の変身,Hotondo Torihada! Bisenshi Zarbon no Akuma no Henshin ,1990-06-27T00:00:00+00:00,4.5,False,False,https://myanimelist.net/forum/?topicid=355777,49
53,54,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/54,Guru's Gift,希望の星を守れ！！クリリン驚異のパワーＵＰ,Kibou no Hoshi wo Mamore!! Kuririn Kyoui no Power-Up ,1990-07-04T00:00:00+00:00,4.5,False,False,https://myanimelist.net/forum/?topicid=355785,43
54,55,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/55,Piccolo vs. Everyone,死の淵からよみがえった奇跡の男・ベジータ,Shi no Fuchi kara Yomigaetta: Kiseki no Otoko - Vegeta ,1990-07-18T00:00:00+00:00,4.6,False,False,https://myanimelist.net/forum/?topicid=355799,45
